Simulating Bereshit's Landing:
    time |       vs |         hs |            dist |             alt |      ang |     weight |     acc |    fuel
------------------------------------------------------------------------------------------------------------------
    0.00 |    24.80 |     932.00 |       181000.00 |        13748.00 |    58.30 |     286.00 |    0.00 |  121.00
   10.00 |    33.72 |     933.74 |       171669.67 |        13463.15 |   199.92 |     284.42 |    1.61 |  119.42
   20.00 |    39.52 |     937.39 |       162322.26 |        13083.54 |    44.31 |     282.77 |    1.69 |  117.77
   30.00 |    42.30 |     935.82 |       152947.16 |        12691.13 |   184.20 |     281.05 |    1.76 |  116.05
   40.00 |    41.64 |     936.92 |       143580.16 |        12294.94 |   218.75 |     279.26 |    1.84 |  114.26
   50.00 |    44.69 |     934.44 |       134243.39 |        11838.15 |   305.02 |     277.41 |    1.92 |  112.41
   60.00 |    51.42 |     931.38 |       124907.97 |        11337.43 |    33.02 |     275.50 |    2.01 |  110.50
   70.00 |    50.97 |     937.51 |       115553.14 |        10810.91 |   351.89 |     273.51 |    2.09 |  108.51
   80.00 |    60.23 |     930.37 |       106249.77 |        10243.89 |   260.18 |     271.46 |    2.17 |  106.46
   90.00 |    65.07 |     929.49 |        96948.25 |         9625.86 |    89.00 |     269.35 |    2.26 |  104.35
  100.00 |    76.27 |     932.30 |        87637.40 |         8923.96 |   210.67 |     267.16 |    2.35 |  102.16
  110.00 |    86.83 |     930.75 |        78323.09 |         8110.44 |   147.73 |     264.91 |    2.44 |   99.91
  120.00 |    94.60 |     922.35 |        69076.17 |         7175.49 |   343.75 |     262.60 |    2.54 |   97.60
  130.00 |    95.47 |     921.67 |        59875.17 |         6249.73 |   241.48 |     260.21 |    2.63 |   95.21
  140.00 |    98.72 |     932.45 |        50599.43 |         5280.71 |   285.24 |     257.76 |    2.73 |   92.76
  150.00 |   105.38 |     921.87 |        41303.67 |         4260.07 |   108.51 |     255.25 |    2.83 |   90.25
  160.00 |   101.61 |     919.61 |        32079.20 |         3202.43 |   328.81 |     252.66 |    2.93 |   87.66
  170.00 |   112.59 |     923.88 |        22847.44 |         2143.09 |    92.68 |     250.01 |    3.04 |   85.01
  180.00 |   126.76 |     919.46 |        13616.48 |          925.37 |   117.34 |     247.70 |    2.54 |   82.70
  187.00 |   128.77 |     911.75 |         7213.38 |           30.08 |   131.91 |     246.35 |    2.56 |   81.35

Finished simulation with 81.12 litres of fuel which are 67.05% of the initial amount.
